,Borough,Neighborhood,ID,Name
0,Brooklyn,Kensington,4d5c12a01e43236a87eb1583,Sake Sushi
1,Brooklyn,Prospect Heights,5cb5e5f9a35f4600255406c6,Maison Yaki
2,Brooklyn,Williamsburg,51f9b7b3498eefe896caeb23,Shalom Japan
3,Brooklyn,Bedford Stuyvesant,5b3bcb69bfc6d0002ca9bf17,Warude
4,Brooklyn,Brooklyn Heights,479ccb47f964a5206b4d1fe3,Iron Chef House
5,Brooklyn,Cobble Hill,48a41073f964a52091511fe3,Hibino
6,Brooklyn,Carroll Gardens,5e4f270b03b7910008721f2e,Karazishi Botan
7,Brooklyn,Park Slope,5276d39a498eb1a5d90096e4,Sushi Katsuei
8,Brooklyn,Clinton Hill,4e3cadcb1f6e844231dbe017,Waza
9,Brooklyn,Downtown,5946d138e2da1964625ca9b2,Daigo Hand Roll Bar
10,Brooklyn,Boerum Hill,58a202a25490d30f87553a08,Rice & Miso
11,Brooklyn,North Side,4c7f0887fb74236a7727f9b9,Samurai Mama
12,Brooklyn,South Side,51f9b7b3498eefe896caeb23,Shalom Japan
13,Brooklyn,Fort Hamilton,4c2678eef1272d7f43a986c5,Fushimi
14,Manhattan,Hamilton Heights,531a0207498e06b4656eb8c5,Geisha Japanese Cuisine
15,Manhattan,Upper East Side,542efa85498ea11026c9746c,Kappo Masa
16,Manhattan,Yorkville,4bc11982b492d13ad88fa560,Inase Sushi
17,Manhattan,Lenox Hill,5aa1d85d5f68b931b6f5acda,Kome Waza UES
18,Manhattan,Midtown,48c50c4bf964a520dc511fe3,Café Zaiya
19,Manhattan,Midtown,51fd77be498e883bf20fcca8,OOTOYA 大戸屋 (OOTOYA)
20,Manhattan,Murray Hill,4a99b4f4f964a520f62f20e3,Kajitsu
21,Manhattan,Murray Hill,559cbaa6498eaa4e8d884811,Tempura Matsui
22,Manhattan,Murray Hill,591caee89deb7d0f69be77a2,Omusubi Gonbei
23,Manhattan,Murray Hill,540dc46d498e86f0e5059dd2,Zuma New York
24,Manhattan,Chelsea,454f7cc4f964a520dc3c1fe3,Morimoto
25,Manhattan,Greenwich Village,3fd66200f964a520dfe91ee3,Omen a Zen
26,Manhattan,East Village,510c85e7e4b0056826b88297,Kura
27,Manhattan,East Village,5b3805910dd31f002409405a,Suki Curry
28,Manhattan,Lower East Side,535978ff498ec5450feaef85,Azasu
29,Manhattan,West Village,59c5657f3b4e0073c245f3c4,Sushi on Jones (West 10th)
30,Queens,Woodside,59cfbbaf491be76b026b6a84,Matsuri
31,Queens,Howard Beach,4c100cd3b93cc9b6482156e0,Hagane
32,Queens,Rego Park,4ee7eaf7469064168cac36bf,Bamboo Ya
33,Queens,Rego Park,4c24df99f7ced13a4d8a236d,Sato Sushi
34,Queens,Little Neck,53696c9b498ef94c9f2bc134,Tei Nei Ya
35,Queens,Jamaica Center,50f5979fe4b0ff6d3603e506,PP Boy Japan Teriyaki & Sushi
36,Queens,Murray Hill,4bc8eee83740b713fcbe5d65,Northern Sushi
37,Queens,Lindenwood,4b9ae1e3f964a52030df35e3,Kawaii
38,Queens,Rockaway Park,4c1868bb50389c74257fb3cf,O'Sake Japanese Restaurant
39,Staten Island,West Brighton,4bca626368f976b086615f83,Kyoto Sushi 5
40,Staten Island,Castleton Corners,4d06abf2c2e5370451f1c467,Tokyo Sushi Japanese
41,Staten Island,Great Kills,4b747a21f964a520e6de2de3,Arirang Hibachi Steakhouse
42,Staten Island,Grasmere,4bad3dcbf964a520173d3be3,Fuji Sushi
43,Staten Island,Bulls Head,4b79eec8f964a520161b2fe3,Sapporo Sushi
44,Manhattan,Noho,446b2f7cf964a52058331fe3,Umi No Ie
45,Manhattan,Midtown South,51e8ce40498ea1fb0180efb2,Izakaya MEW
46,Manhattan,Midtown South,57ab615d498eef084faa348b,Abiko Curry
47,Manhattan,Midtown South,5d7a9d59a369d40008dfcc1a,Konbini
48,Manhattan,Midtown South,58b8ed467220e661ddf34104,KazuNori: The Original Hand Roll Bar
49,Brooklyn,Mill Basin,4d7fc91f95c1a143260eecf2,Yoshi
50,Brooklyn,Mill Basin,4bfc3f24b5cd2d7fc34931fb,Sosaku
51,Queens,Pomonok,4b817770f964a520ffa730e3,Futigi Japanese Cuisine
52,Queens,Hunters Point,52b470f511d2522f86497c9b,Hibino LIC
53,Queens,Hunters Point,5718e217498e458de03e94c8,Takumen
54,Queens,Hunters Point,5bb7e3ced48ec100398ab4fb,Dai Hachi
55,Manhattan,Tudor City,559cbaa6498eaa4e8d884811,Tempura Matsui
56,Manhattan,Flatiron,4f7b61f6e4b07aaa5d524842,OOTOYA 大戸屋 (OOTOYA)
57,Manhattan,Flatiron,581a10901df6b32e66ec3a07,Sugarfish
58,Manhattan,Flatiron,5bd7a5561c675b0039be9acc,HALL
59,Manhattan,Flatiron,55805bb5498e8356d675aa22,Yakiniku Futago
60,Queens,Sunnyside Gardens,4ba2a9cbf964a520d00d38e3,Oki Japanese Restaurant
61,Brooklyn,Fulton Ferry,5cf1562460255e002c5e683c,Bessou
